"","x","y","land_perc","temp","phyto","velo","diversity","active","upper","lower","right","left","upper_left","upper_right","lower_left","lower_right"
"230",-1795000,6689204.14285714,0,281.545799194224,1.85819576981402,3.8275497720459,0.4,1,1,1,1,1,1,1,1,1
"231",-1705000,6689204.14285714,0,281.969512389014,1.82263210033334,4.3830338893624,0.54,1,1,1,1,1,1,1,1,1
"232",-1615000,6689204.14285714,0,282.025741381014,1.78326925792932,5.51537348921909,0.56,1,1,1,1,1,1,1,1,1
"233",-1525000,6689204.14285714,0,281.812206722286,1.73459233385354,8.28406997482341,0.52,1,1,1,1,1,1,1,1,1
"234",-1435000,6689204.14285714,0,281.387893523407,1.68284857422802,5.36639678652874,0.4,1,1,1,1,1,1,1,1,1
"235",-1345000,6689204.14285714,0,280.998385444284,1.64728351760939,3.85974143701982,0.28,1,1,1,1,1,1,1,1,1
"236",-1255000,6689204.14285714,0,280.903669393503,1.61254013021702,3.32846699924286,0.22,1,1,1,1,1,1,1,1,1
"237",-1165000,6689204.14285714,0,281.056488243058,1.58634935621015,2.99649661529735,0.16,1,1,1,1,1,1,1,1,1
"238",-1075000,6689204.14285714,0,281.333367705581,1.5558948636083,2.32006445030489,0.2,1,1,1,1,1,1,1,1,1
"239",-985000,6689204.14285714,0,281.550828633556,1.53305273238669,1.90100394657086,0.2,1,1,1,1,1,1,1,1,1
"240",-895000,6689204.14285714,0,281.777020562024,1.49169719652912,2.76896747352295,0.14,1,1,1,1,1,1,1,1,1
"241",-805000,6689204.14285714,0,282.013105183295,1.47186024828826,2.33914444434306,0.2,1,1,1,1,1,1,1,1,1
"242",-715000,6689204.14285714,0,282.317252134358,1.47252358465972,2.34652026368772,0.14,1,1,1,1,1,1,1,1,1
"243",-625000,6689204.14285714,0,282.672350020303,1.47220517562056,3.15329822202255,0.12,1,1,1,1,1,1,1,1,1
"244",-535000,6689204.14285714,0,283.002004456346,1.51430292740501,2.74537355718008,0.14,1,1,1,1,1,1,1,1,1
"245",-445000,6689204.14285714,0,283.473523502769,1.51692827494105,7.38093743852993,0.24,1,1,1,1,1,1,1,1,1
"246",-355000,6689204.14285714,0,283.867902508051,1.54782311314993,4.50148475018573,0.32,1,1,1,1,1,1,1,1,1
"247",-265000,6689204.14285714,0,284.035142019911,1.56669702424399,3.42363970321099,0.34,1,1,1,1,1,1,1,1,1
"248",-175000,6689204.14285714,0,284.369637015563,1.5734250708949,7.59516778087425,0.44,1,1,1,1,1,1,1,1,1
